"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 01 12:22:47 GMT 2022","Fri Jul 01 12:22:50 GMT 2022","2580","","PrivacyPolicyTest","","PrivacyPolicyTest","privacyPolicyClosingTest","repetition 2 of 2","A felugró adatkezelési nyilatkozatot bezárjuk elfogadás nélkül"
"passed","Fri Jul 01 12:22:39 GMT 2022","Fri Jul 01 12:22:42 GMT 2022","2581","","PrivacyPolicyTest","","PrivacyPolicyTest","privacyPolicyAcceptingTest","repetition 1 of 2","A felugró adatkezelési nyilatkozatot elfogadjuk"
"passed","Fri Jul 01 12:22:31 GMT 2022","Fri Jul 01 12:22:32 GMT 2022","905","","RegistrationTest","","RegistrationTest","registerTestFromDataSource","repetition 1 of 2","Sikeres regisztráció egy szöveges fájl sorozatos beolvasása segítségével"
"passed","Fri Jul 01 12:21:49 GMT 2022","Fri Jul 01 12:21:51 GMT 2022","1792","","ListingDataTest","","ListingDataTest","listDataTestWithWrongData","repetition 2 of 2","A navigációs sáv menüpontjait listába szedjük és ellenőrizzük, hogy egy random választott szó nem szerepel-e benne."
"passed","Fri Jul 01 12:22:45 GMT 2022","Fri Jul 01 12:22:47 GMT 2022","2576","","PrivacyPolicyTest","","PrivacyPolicyTest","privacyPolicyClosingTest","repetition 1 of 2","A felugró adatkezelési nyilatkozatot bezárjuk elfogadás nélkül"
"passed","Fri Jul 01 12:22:21 GMT 2022","Fri Jul 01 12:22:23 GMT 2022","1712","","LogoutTest","","LogoutTest","logoutTest","repetition 1 of 2","Kijelentkezünk a bejelentkezett oldalon."
"passed","Fri Jul 01 12:21:29 GMT 2022","Fri Jul 01 12:21:31 GMT 2022","2437","","DataDeletionTest","","DataDeletionTest","dataDeletionTest","repetition 2 of 2","Töröljük a profilunkat,ezáltal az összes adatunkat az oldalról."
"passed","Fri Jul 01 12:22:29 GMT 2022","Fri Jul 01 12:22:30 GMT 2022","1030","","RegistrationTest","","RegistrationTest","registerTest","repetition 1 of 2","Sikeres regisztráció folyamat tesztelése, manuális adat bevitellel"
"passed","Fri Jul 01 12:21:24 GMT 2022","Fri Jul 01 12:21:37 GMT 2022","12510","","SaveDataTest","","SaveDataTest","saveDataTest","repetition 1 of 2","Lementjük egy txt. fájlba a menüpontok listáját."
"passed","Fri Jul 01 12:21:37 GMT 2022","Fri Jul 01 12:21:47 GMT 2022","9965","","SaveDataTest","","SaveDataTest","saveDataTest","repetition 2 of 2","Lementjük egy txt. fájlba a menüpontok listáját."
"passed","Fri Jul 01 12:21:56 GMT 2022","Fri Jul 01 12:21:58 GMT 2022","1738","","ListingDataTest","","ListingDataTest","listDataTest","repetition 2 of 2","A navigációs sáv menüpontjait listába szedjük és ellenőrizzük , hogy valóban megtalálható-e benne egy választott szó."
"passed","Fri Jul 01 12:22:33 GMT 2022","Fri Jul 01 12:22:35 GMT 2022","1700","","LoginTest","","LoginTest","loginTest","repetition 1 of 2","Sikeres bejelentkezés tesztelése, manuális adat bevitellel"
"passed","Fri Jul 01 12:22:38 GMT 2022","Fri Jul 01 12:22:39 GMT 2022","1513","","LoginTest","","LoginTest","loginTestFromDataSource","repetition 2 of 2","Sikeres bejelentkezés egy szöveges fájl sorozatos beolvasása segítségével."
"passed","Fri Jul 01 12:21:47 GMT 2022","Fri Jul 01 12:21:49 GMT 2022","1832","","ListingDataTest","","ListingDataTest","listDataTestWithWrongData","repetition 1 of 2","A navigációs sáv menüpontjait listába szedjük és ellenőrizzük, hogy egy random választott szó nem szerepel-e benne."
"passed","Fri Jul 01 12:22:32 GMT 2022","Fri Jul 01 12:22:33 GMT 2022","897","","RegistrationTest","","RegistrationTest","registerTestFromDataSource","repetition 2 of 2","Sikeres regisztráció egy szöveges fájl sorozatos beolvasása segítségével"
"passed","Fri Jul 01 12:22:36 GMT 2022","Fri Jul 01 12:22:38 GMT 2022","1516","","LoginTest","","LoginTest","loginTestFromDataSource","repetition 1 of 2","Sikeres bejelentkezés egy szöveges fájl sorozatos beolvasása segítségével."
