"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 01 11:48:30 GMT 2022","Fri Jul 01 11:48:32 GMT 2022","1963","","LogoutTest","","LogoutTest","logoutTest","repetition 1 of 2","Kijelentkezünk a bejelentkezett oldalon."
"passed","Fri Jul 01 11:48:36 GMT 2022","Fri Jul 01 11:48:38 GMT 2022","2299","","EditDataTest","","EditDataTest","editDataTest","repetition 2 of 2","Megváltoztatjuk a profiloldalunkon az adatokat."
"passed","Fri Jul 01 11:48:17 GMT 2022","Fri Jul 01 11:48:20 GMT 2022","2947","","PrivacyPolicyTest","","PrivacyPolicyTest","privacyPolicyClosingTest","repetition 1 of 2","A felugró adatkezelési nyilatkozatot bezárjuk elfogadás nélkül"
"passed","Fri Jul 01 11:48:01 GMT 2022","Fri Jul 01 11:48:12 GMT 2022","11067","","SaveDataTest","","SaveDataTest","saveDataTest","repetition 2 of 2","Lementjük egy txt. fájlba a menüpontok listáját."
"passed","Fri Jul 01 11:48:19 GMT 2022","Fri Jul 01 11:48:21 GMT 2022","2030","","ListingDataTest","","ListingDataTest","listDataTestWithLowerCase","repetition 2 of 2","A navigációs sáv menüpontjait listába szedjük és ellenőrizzük , hogy valóban megtalálható-e benne egy választott szó,ha kisbetűvel is írjuk."
"passed","Fri Jul 01 11:48:23 GMT 2022","Fri Jul 01 11:48:25 GMT 2022","1834","","ListingDataTest","","ListingDataTest","listDataTest","repetition 2 of 2","A navigációs sáv menüpontjait listába szedjük és ellenőrizzük , hogy valóban megtalálható-e benne egy választott szó."
"passed","Fri Jul 01 11:48:13 GMT 2022","Fri Jul 01 11:48:17 GMT 2022","3071","","PrivacyPolicyTest","","PrivacyPolicyTest","privacyPolicyAcceptingTest","repetition 2 of 2","A felugró adatkezelési nyilatkozatot elfogadjuk"
"passed","Fri Jul 01 11:48:20 GMT 2022","Fri Jul 01 11:48:22 GMT 2022","2826","","PrivacyPolicyTest","","PrivacyPolicyTest","privacyPolicyClosingTest","repetition 2 of 2","A felugró adatkezelési nyilatkozatot bezárjuk elfogadás nélkül"
"passed","Fri Jul 01 11:48:32 GMT 2022","Fri Jul 01 11:48:34 GMT 2022","1902","","LogoutTest","","LogoutTest","logoutTest","repetition 2 of 2","Kijelentkezünk a bejelentkezett oldalon."
"passed","Fri Jul 01 11:47:48 GMT 2022","Fri Jul 01 11:48:01 GMT 2022","13156","","SaveDataTest","","SaveDataTest","saveDataTest","repetition 1 of 2","Lementjük egy txt. fájlba a menüpontok listáját."
"passed","Fri Jul 01 11:47:59 GMT 2022","Fri Jul 01 11:48:00 GMT 2022","1297","","RegistrationTest","","RegistrationTest","registerTestFromDataSource","repetition 1 of 2","Sikeres regisztráció egy szöveges fájl sorozatos beolvasása segítségével"
"passed","Fri Jul 01 11:48:34 GMT 2022","Fri Jul 01 11:48:36 GMT 2022","2250","","EditDataTest","","EditDataTest","editDataTest","repetition 1 of 2","Megváltoztatjuk a profiloldalunkon az adatokat."
"passed","Fri Jul 01 11:47:53 GMT 2022","Fri Jul 01 11:47:56 GMT 2022","2695","","DataDeletionTest","","DataDeletionTest","dataDeletionTest","repetition 2 of 2","Töröljük a profilunkat,ezáltal az összes adatunkat az oldalról."
"passed","Fri Jul 01 11:48:04 GMT 2022","Fri Jul 01 11:48:06 GMT 2022","2337","","LoginTest","","LoginTest","loginTest","repetition 2 of 2","Sikeres bejelentkezés tesztelése, manuális adat bevitellel"
"passed","Fri Jul 01 11:47:56 GMT 2022","Fri Jul 01 11:47:57 GMT 2022","1380","","RegistrationTest","","RegistrationTest","registerTest","repetition 1 of 2","Sikeres regisztráció folyamat tesztelése, manuális adat bevitellel"
"passed","Fri Jul 01 11:48:00 GMT 2022","Fri Jul 01 11:48:01 GMT 2022","1301","","RegistrationTest","","RegistrationTest","registerTestFromDataSource","repetition 2 of 2","Sikeres regisztráció egy szöveges fájl sorozatos beolvasása segítségével"
"failed","Fri Jul 01 11:48:25 GMT 2022","Fri Jul 01 11:48:30 GMT 2022","5105","","MultiPageListTest","","MultiPageListTest","paginationTest","repetition 1 of 1","Megszámoljuk hány blogbejegyzést tartalmaz az összes oldal."
