"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 01 12:01:17 GMT 2022","Fri Jul 01 12:01:18 GMT 2022","1848","","ListingDataTest","","ListingDataTest","listDataTest","repetition 2 of 2","A navigációs sáv menüpontjait listába szedjük és ellenőrizzük , hogy valóban megtalálható-e benne egy választott szó."
"passed","Fri Jul 01 12:01:51 GMT 2022","Fri Jul 01 12:01:53 GMT 2022","1699","","EditDataTest","","EditDataTest","editDataTest","repetition 2 of 2","Megváltoztatjuk a profiloldalunkon az adatokat."
"passed","Fri Jul 01 12:02:00 GMT 2022","Fri Jul 01 12:02:01 GMT 2022","1303","","LoginTest","","LoginTest","loginTestFromDataSource","repetition 2 of 2","Sikeres bejelentkezés egy szöveges fájl sorozatos beolvasása segítségével."
"passed","Fri Jul 01 12:01:55 GMT 2022","Fri Jul 01 12:01:56 GMT 2022","753","","RegistrationTest","","RegistrationTest","registerTestFromDataSource","repetition 2 of 2","Sikeres regisztráció egy szöveges fájl sorozatos beolvasása segítségével"
"passed","Fri Jul 01 12:02:09 GMT 2022","Fri Jul 01 12:02:11 GMT 2022","2527","","PrivacyPolicyTest","","PrivacyPolicyTest","privacyPolicyClosingTest","repetition 2 of 2","A felugró adatkezelési nyilatkozatot bezárjuk elfogadás nélkül"
"passed","Fri Jul 01 12:01:57 GMT 2022","Fri Jul 01 12:01:58 GMT 2022","1292","","LoginTest","","LoginTest","loginTest","repetition 2 of 2","Sikeres bejelentkezés tesztelése, manuális adat bevitellel"
"passed","Fri Jul 01 12:01:38 GMT 2022","Fri Jul 01 12:01:46 GMT 2022","7930","","MultiPageListTest","","MultiPageListTest","paginationTest","repetition 2 of 2","Megszámoljuk hány blogbejegyzést tartalmaz az összes oldal."
"passed","Fri Jul 01 12:01:15 GMT 2022","Fri Jul 01 12:01:17 GMT 2022","1866","","ListingDataTest","","ListingDataTest","listDataTest","repetition 1 of 2","A navigációs sáv menüpontjait listába szedjük és ellenőrizzük , hogy valóban megtalálható-e benne egy választott szó."
"passed","Fri Jul 01 12:01:13 GMT 2022","Fri Jul 01 12:01:15 GMT 2022","1865","","ListingDataTest","","ListingDataTest","listDataTestWithLowerCase","repetition 2 of 2","A navigációs sáv menüpontjait listába szedjük és ellenőrizzük , hogy valóban megtalálható-e benne egy választott szó,ha kisbetűvel is írjuk."
"passed","Fri Jul 01 12:01:05 GMT 2022","Fri Jul 01 12:01:17 GMT 2022","11951","","SaveDataTest","","SaveDataTest","saveDataTest","repetition 1 of 2","Lementjük egy txt. fájlba a menüpontok listáját."
"passed","Fri Jul 01 12:01:48 GMT 2022","Fri Jul 01 12:01:49 GMT 2022","1468","","LogoutTest","","LogoutTest","logoutTest","repetition 2 of 2","Kijelentkezünk a bejelentkezett oldalon."
"passed","Fri Jul 01 12:01:09 GMT 2022","Fri Jul 01 12:01:11 GMT 2022","1857","","ListingDataTest","","ListingDataTest","listDataTestWithWrongData","repetition 2 of 2","A navigációs sáv menüpontjait listába szedjük és ellenőrizzük, hogy egy random választott szó nem szerepel-e benne."
"passed","Fri Jul 01 12:01:17 GMT 2022","Fri Jul 01 12:01:27 GMT 2022","9886","","SaveDataTest","","SaveDataTest","saveDataTest","repetition 2 of 2","Lementjük egy txt. fájlba a menüpontok listáját."
"passed","Fri Jul 01 12:01:49 GMT 2022","Fri Jul 01 12:01:51 GMT 2022","1714","","EditDataTest","","EditDataTest","editDataTest","repetition 1 of 2","Megváltoztatjuk a profiloldalunkon az adatokat."
"passed","Fri Jul 01 12:01:53 GMT 2022","Fri Jul 01 12:01:53 GMT 2022","851","","RegistrationTest","","RegistrationTest","registerTest","repetition 1 of 2","Sikeres regisztráció folyamat tesztelése, manuális adat bevitellel"
