"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 01 12:00:04 GMT 2022","Fri Jul 01 12:00:05 GMT 2022","993","","RegistrationTest","","RegistrationTest","registerTestFromDataSource","repetition 1 of 2","Sikeres regisztráció egy szöveges fájl sorozatos beolvasása segítségével"
"passed","Fri Jul 01 12:00:13 GMT 2022","Fri Jul 01 12:00:16 GMT 2022","2641","","PrivacyPolicyTest","","PrivacyPolicyTest","privacyPolicyAcceptingTest","repetition 1 of 2","A felugró adatkezelési nyilatkozatot elfogadjuk"
"passed","Fri Jul 01 11:59:36 GMT 2022","Fri Jul 01 11:59:37 GMT 2022","1839","","ListingDataTest","","ListingDataTest","listDataTest","repetition 2 of 2","A navigációs sáv menüpontjait listába szedjük és ellenőrizzük , hogy valóban megtalálható-e benne egy választott szó."
"passed","Fri Jul 01 12:00:11 GMT 2022","Fri Jul 01 12:00:13 GMT 2022","1591","","LoginTest","","LoginTest","loginTestFromDataSource","repetition 2 of 2","Sikeres bejelentkezés egy szöveges fájl sorozatos beolvasása segítségével."
"passed","Fri Jul 01 11:59:12 GMT 2022","Fri Jul 01 11:59:22 GMT 2022","10055","","SaveDataTest","","SaveDataTest","saveDataTest","repetition 2 of 2","Lementjük egy txt. fájlba a menüpontok listáját."
"passed","Fri Jul 01 11:59:28 GMT 2022","Fri Jul 01 11:59:30 GMT 2022","1877","","ListingDataTest","","ListingDataTest","listDataTestWithWrongData","repetition 2 of 2","A navigációs sáv menüpontjait listába szedjük és ellenőrizzük, hogy egy random választott szó nem szerepel-e benne."
"passed","Fri Jul 01 11:59:37 GMT 2022","Fri Jul 01 11:59:46 GMT 2022","8351","","MultiPageListTest","","MultiPageListTest","paginationTest","repetition 1 of 2","Megszámoljuk hány blogbejegyzést tartalmaz az összes oldal."
"passed","Fri Jul 01 11:59:54 GMT 2022","Fri Jul 01 11:59:56 GMT 2022","1781","","LogoutTest","","LogoutTest","logoutTest","repetition 1 of 2","Kijelentkezünk a bejelentkezett oldalon."
"passed","Fri Jul 01 12:00:08 GMT 2022","Fri Jul 01 12:00:10 GMT 2022","1743","","LoginTest","","LoginTest","loginTest","repetition 2 of 2","Sikeres bejelentkezés tesztelése, manuális adat bevitellel"
"passed","Fri Jul 01 12:00:18 GMT 2022","Fri Jul 01 12:00:21 GMT 2022","2601","","PrivacyPolicyTest","","PrivacyPolicyTest","privacyPolicyClosingTest","repetition 1 of 2","A felugró adatkezelési nyilatkozatot bezárjuk elfogadás nélkül"
"passed","Fri Jul 01 11:59:24 GMT 2022","Fri Jul 01 11:59:26 GMT 2022","2047","","DataDeletionTest","","DataDeletionTest","dataDeletionTest","repetition 2 of 2","Töröljük a profilunkat,ezáltal az összes adatunkat az oldalról."
"passed","Fri Jul 01 11:59:57 GMT 2022","Fri Jul 01 12:00:00 GMT 2022","2301","","EditDataTest","","EditDataTest","editDataTest","repetition 1 of 2","Megváltoztatjuk a profiloldalunkon az adatokat."
